height,weight
174.0,72.4
168.9,70.7
175.2,76.7
182.2,81.6
168.1,70.8
168.1,72.5
182.6,90.0
176.1,79.0
166.2,70.4
174.3,76.6
166.3,63.9
166.3,69.6
171.9,74.9
154.7,66.6
156.2,60.0
165.5,69.9
161.9,65.6
172.5,71.7
162.7,69.9
158.7,65.1
181.7,85.9
168.2,68.7
170.5,77.7
158.6,58.5
165.6,70.8
170.9,80.4
160.8,61.7
173.0,74.0
165.2,69.0
167.7,69.4
165.2,64.0
184.8,86.5
169.9,69.7
161.5,66.8
176.6,76.2
160.2,68.8
171.7,72.2
154.3,57.9
159.4,65.9
171.6,70.7
175.9,79.0
171.4,78.2
169.1,67.4
167.6,71.4
158.2,63.2
164.2,70.1
166.3,66.0
178.5,76.7
172.7,77.0
155.9,61.2
172.6,76.1
166.9,71.2
164.6,66.1
174.9,78.1
178.2,81.3
177.5,77.6
163.3,72.6
167.5,72.2
172.7,71.9
177.8,82.0
166.2,66.7
168.5,74.0
161.1,68.5
160.4,61.9
176.5,81.7
180.8,84.0
169.4,74.9
178.0,85.9
172.9,74.9
164.8,66.1
172.9,72.9
182.3,81.6
169.7,72.5
182.5,85.3
149.0,54.9
176.6,81.4
170.7,73.7
167.6,75.2
170.7,72.8
154.1,66.9
168.2,73.3
172.9,73.0
181.8,80.4
165.9,70.8
163.5,66.5
166.0,71.5
177.3,81.0
172.6,75.1
165.8,66.7
174.1,72.1
170.8,72.4
177.7,82.5
164.4,68.6
167.4,66.9
166.9,70.7
158.3,63.6
172.4,72.5
172.1,75.4
170.0,73.2
168.1,67.9
